,expected_len,max-rouge1-precision,max-rouge1-recall,max-rouge1-fmeasure,max-rouge2-precision,max-rouge2-recall,max-rouge2-fmeasure,max-rougeL-precision,max-rougeL-recall,max-rougeL-fmeasure,avg-rouge1-precision,avg-rouge1-recall,avg-rouge1-fmeasure,avg-rouge2-precision,avg-rouge2-recall,avg-rouge2-fmeasure,avg-rougeL-precision,avg-rougeL-recall,avg-rougeL-fmeasure,avg-bert-precision,avg-bert-recall,avg-bert-f1,max-bert-precision,max-bert-recall,max-bert-f1,gen_len,overflow_ratio
distil-BART,140.23,0.4294,0.3103,0.3595,0.112,0.08,0.0932,0.2294,0.1659,0.1922,0.378,0.2736,0.3168,0.0743,0.053,0.0617,0.1987,0.1438,0.1665,0.8511,0.8448,0.8479,0.858,0.8525,0.8552,101.12,0.8606
BART-large,140.23,0.414,0.3693,0.3876,0.1151,0.1035,0.1082,0.2181,0.1951,0.2046,0.3633,0.3233,0.3397,0.0782,0.0699,0.0733,0.1829,0.1624,0.1708,0.8528,0.8527,0.8527,0.8614,0.8614,0.8614,120.54,0.8606
distil-BART+MCA,140.23,0.4128,0.3658,0.3839,0.123,0.1083,0.1141,0.238,0.2118,0.2218,0.3632,0.3215,0.3377,0.0866,0.0755,0.0799,0.2051,0.1821,0.191,0.8635,0.8443,0.8538,0.8704,0.8523,0.8612,114.22,0.1285
BART-large+MCA,140.23,0.4286,0.3718,0.396,0.1203,0.1041,0.111,0.2344,0.2027,0.2162,0.3766,0.3269,0.348,0.0865,0.0743,0.0795,0.2002,0.1735,0.1848,0.8623,0.8509,0.8565,0.8699,0.8583,0.864,117.1,0.1285
PEGASUS,128.21,0.3991,0.3237,0.3558,0.1057,0.0856,0.0941,0.2117,0.1714,0.1885,0.3498,0.2853,0.3128,0.0692,0.056,0.0616,0.1797,0.146,0.1604,0.8366,0.8488,0.8426,0.8439,0.8565,0.8501,109.94,0.8378
BigBird,128.21,0.1982,0.2594,0.2242,0.0334,0.0435,0.0377,0.1449,0.1904,0.1643,0.1639,0.215,0.1856,0.0201,0.0261,0.0227,0.1189,0.1567,0.1349,0.787,0.815,0.8006,0.7937,0.8196,0.8063,158.84,0.3497
