,expected_len,avg-rouge1-precision,avg-rouge1-recall,avg-rouge1-fmeasure,avg-rouge2-precision,avg-rouge2-recall,avg-rouge2-fmeasure,avg-rougeL-precision,avg-rougeL-recall,avg-rougeL-fmeasure,avg-bert-precision,avg-bert-recall,avg-bert-f1,gen_len,overflow_ratio
distil-BART,91.4681,0.2026,0.3325,0.2365,0.0291,0.0489,0.0342,0.112,0.1917,0.1327,0.8072,0.8482,0.8271,159.6745,0.4275
BART-large,91.4681,0.2025,0.3284,0.2348,0.0292,0.0486,0.034,0.1138,0.192,0.1337,0.8076,0.8491,0.8277,156.8447,0.4275
distil-BART+MCA,91.4681,0.1511,0.2706,0.1812,0.0192,0.0347,0.0231,0.0988,0.1865,0.1205,0.7997,0.8223,0.8106,159.0638,0.0
BART-large+MCA,91.4681,0.1599,0.2765,0.1894,0.0217,0.0382,0.0258,0.105,0.191,0.1267,0.8018,0.8244,0.8128,159.1,0.0
PEGASUS,85.366,0.179,0.2837,0.2057,0.0224,0.0374,0.0263,0.1094,0.1814,0.1278,0.7993,0.8404,0.8192,154.7489,0.3811
BigBird,85.366,0.1669,0.2379,0.1821,0.0139,0.0207,0.0155,0.1051,0.155,0.1162,0.7942,0.8278,0.8105,137.1766,0.0845
