,expected_len,avg-rouge1-precision,avg-rouge1-recall,avg-rouge1-fmeasure,avg-rouge2-precision,avg-rouge2-recall,avg-rouge2-fmeasure,avg-rougeL-precision,avg-rougeL-recall,avg-rougeL-fmeasure,avg-bert-precision,avg-bert-recall,avg-bert-f1,gen_len,overflow_ratio
distil-BART,91.4681,0.2031,0.3323,0.2367,0.0292,0.0488,0.0343,0.1123,0.1916,0.1328,0.8073,0.8482,0.8271,159.3681,0.4275
BART-large,91.4681,0.2041,0.328,0.2352,0.0298,0.0485,0.0342,0.1148,0.1918,0.134,0.8081,0.8491,0.828,155.9851,0.4275
distil-BART+MCA,91.4681,0.1511,0.2705,0.1813,0.0192,0.0347,0.0231,0.0988,0.1864,0.1206,0.7998,0.8223,0.8107,158.9085,0.0
BART-large+MCA,91.4681,0.1599,0.2765,0.1894,0.0217,0.0382,0.0258,0.105,0.191,0.1267,0.8018,0.8244,0.8128,159.1,0.0
PEGASUS,85.366,0.1823,0.2808,0.2061,0.0229,0.037,0.0263,0.1115,0.1795,0.128,0.8003,0.8405,0.8198,151.5936,0.3811
BigBird,85.366,0.1754,0.2216,0.1793,0.0146,0.0195,0.0155,0.1118,0.1446,0.115,0.7974,0.8276,0.812,124.1532,0.0845
